,Target,Model,Parameters,AUC-ROC,AP
0,All,xStream,"k:50,nchains:50,depth:10",0.7669889676039012,0.38378237222866707
1,All,xStream,"k:50,nchains:50,depth:20",0.7480123718180643,0.368227949355183
2,All,xStream,"k:50,nchains:100,depth:10",0.7623259008009227,0.3770392487757405
3,All,xStream,"k:50,nchains:100,depth:20",0.7600543879332977,0.37317802669160727
4,All,xStream,"k:100,nchains:50,depth:10",0.7319340214485399,0.3330243197800098
5,All,xStream,"k:100,nchains:50,depth:20",0.728204227299068,0.3622275551356975
6,All,xStream,"k:100,nchains:100,depth:10",0.7466826526538313,0.3664820524305668
7,All,xStream,"k:100,nchains:100,depth:20",0.7281550291205325,0.34660591578423605
8,All,Isolation Forest,"n_est:100,max_samples:10,max_features:1",0.5949817173722002,0.31045802950324863
9,All,Isolation Forest,"n_est:100,max_samples:10,max_features:2",0.6869680991173498,0.30774274980137944
10,All,Isolation Forest,"n_est:100,max_samples:10,max_features:3",0.5807119753902128,0.30481466320299877
11,All,Isolation Forest,"n_est:100,max_samples:10,max_features:4",0.650674677448718,0.28013261190788746
12,All,Isolation Forest,"n_est:100,max_samples:10,max_features:5",0.6713581888004669,0.3210899739026225
13,All,Isolation Forest,"n_est:100,max_samples:10,max_features:6",0.6084151836152526,0.27295257067690937
14,All,Isolation Forest,"n_est:100,max_samples:10,max_features:7",0.623380572914344,0.2709432146023185
15,All,Isolation Forest,"n_est:100,max_samples:10,max_features:8",0.5487207509520408,0.24639093800691098
16,All,Isolation Forest,"n_est:100,max_samples:10,max_features:9",0.6224699090318837,0.2717855316396579
17,All,Isolation Forest,"n_est:100,max_samples:60,max_features:1",0.5992675566747779,0.2736827525344727
18,All,Isolation Forest,"n_est:100,max_samples:60,max_features:2",0.5779353259777392,0.2580481064922785
19,All,Isolation Forest,"n_est:100,max_samples:60,max_features:3",0.6496099193977097,0.2967683852763775
20,All,Isolation Forest,"n_est:100,max_samples:60,max_features:4",0.5867090529810893,0.24555651513222998
21,All,Isolation Forest,"n_est:100,max_samples:60,max_features:5",0.5963358179346455,0.25878382509123166
22,All,Isolation Forest,"n_est:100,max_samples:60,max_features:6",0.6520497696486547,0.2839681417868547
23,All,Isolation Forest,"n_est:100,max_samples:60,max_features:7",0.6334712375070991,0.2981126318178982
24,All,Isolation Forest,"n_est:100,max_samples:60,max_features:8",0.676585759608992,0.29829545191544865
25,All,Isolation Forest,"n_est:100,max_samples:60,max_features:9",0.6385230694364183,0.2666025185608082
26,All,Isolation Forest,"n_est:100,max_samples:110,max_features:1",0.522542779557765,0.23002700450598904
27,All,Isolation Forest,"n_est:100,max_samples:110,max_features:2",0.6984455490295923,0.28151833689968414
28,All,Isolation Forest,"n_est:100,max_samples:110,max_features:3",0.6029326965807763,0.2557598826041982
29,All,Isolation Forest,"n_est:100,max_samples:110,max_features:4",0.6812733633037938,0.3191546068006871
30,All,Isolation Forest,"n_est:100,max_samples:110,max_features:5",0.6921583514592237,0.31070569077390536
31,All,Isolation Forest,"n_est:100,max_samples:110,max_features:6",0.6309778663552316,0.263873032161419
32,All,Isolation Forest,"n_est:100,max_samples:110,max_features:7",0.6358143396332502,0.2655203278216941
33,All,Isolation Forest,"n_est:100,max_samples:110,max_features:8",0.6805912439308512,0.28520817746874677
34,All,Isolation Forest,"n_est:100,max_samples:110,max_features:9",0.7107633486133795,0.31548424955332655
35,All,Isolation Forest,"n_est:100,max_samples:160,max_features:1",0.6169701622065812,0.2625374301101351
36,All,Isolation Forest,"n_est:100,max_samples:160,max_features:2",0.6914791242674463,0.30520833757077587
37,All,Isolation Forest,"n_est:100,max_samples:160,max_features:3",0.6606447411967448,0.31321747066860883
38,All,Isolation Forest,"n_est:100,max_samples:160,max_features:4",0.6168748757217314,0.2820029635446013
39,All,Isolation Forest,"n_est:100,max_samples:160,max_features:5",0.6645976686780698,0.2849827666532048
40,All,Isolation Forest,"n_est:100,max_samples:160,max_features:6",0.6278624585617301,0.2548489345224006
41,All,Isolation Forest,"n_est:100,max_samples:160,max_features:7",0.6803723089264964,0.28894221266084685
42,All,Isolation Forest,"n_est:100,max_samples:160,max_features:8",0.6474073523972231,0.27800516391632
