,"k:50,nchains:50,depth:10","k:50,nchains:50,depth:20","k:50,nchains:100,depth:10","k:50,nchains:100,depth:20","k:100,nchains:50,depth:10","k:100,nchains:50,depth:20","k:100,nchains:100,depth:10","k:100,nchains:100,depth:20"
0,-13.893677025934013,-13.952754967158302,-13.844291580207253,-13.892837354458331,-13.903831833464395,-13.893274267555432,-13.865094669887055,-13.828004396556437
1,-11.629436847557136,-11.664751885740971,-11.45566365193238,-11.45016334299438,-11.596442868702265,-11.499716695402924,-11.360065241816095,-11.366912212092748
2,-13.890121569780877,-13.947552059554159,-13.837570276133052,-13.886560046595061,-13.903831833464395,-13.893274267555432,-13.865094669887055,-13.829144604808784
3,-13.153212533669182,-13.257114447436024,-13.037683484401136,-12.90821348979896,-13.012401656759064,-13.466877002848241,-13.197875500283075,-13.099848694620649
4,-13.889780832692898,-13.947552059554159,-13.843230901715328,-13.892837354458331,-13.903831833464395,-13.893274267555432,-13.865094669887055,-13.829144604808784
5,-13.299381400715664,-13.23965861175232,-13.106032916725542,-13.235879330800586,-13.112371324828214,-13.364332868156033,-13.212976819868238,-13.253608852560255
6,-12.998445362280409,-13.0305413918238,-12.879770724552728,-13.006539267461996,-13.043455870636887,-13.157578131673509,-13.032452395561993,-12.815628939949228
7,-13.268606427321055,-13.346163368340312,-13.405641618065502,-13.290490650233773,-13.156910981217706,-13.458850738454457,-13.194117952491288,-13.205594995302032
8,-13.419928405923585,-13.547945494816103,-13.499792672889855,-13.445122120347493,-13.440205970639868,-13.61879331949514,-13.526530985867034,-13.501975319813042
9,-13.89401776302199,-13.940160632854626,-13.841135123866513,-13.892837354458331,-13.903831833464395,-13.893274267555432,-13.857530900880931,-13.828004396556437
10,-13.428036667531396,-13.547945494816103,-13.512591313243066,-13.43513589309356,-13.426364996420183,-13.61879331949514,-13.470496468509024,-13.501975319813042
11,-12.91540468241553,-12.478212570464002,-12.62235653370637,-12.713250817789188,-12.215076584027345,-12.346402635128914,-12.513234583620536,-12.373076619067554
12,-12.000390455065013,-12.164927003181948,-12.01360749316279,-11.918666559327102,-12.09777972220354,-11.988033383420422,-11.901342257902032,-12.053155802275326
