,Target,Model,Parameters,AUC-ROC,AP
0,All,xStream,"k:50,nchains:50,depth:10",0.7339174932046492,0.36231846151131586
1,All,xStream,"k:50,nchains:50,depth:20",0.7369609023816717,0.3490958021699012
2,All,xStream,"k:50,nchains:100,depth:10",0.7405355861362621,0.3550753225248809
3,All,xStream,"k:50,nchains:100,depth:20",0.7465291141835938,0.3704338441488327
4,All,xStream,"k:100,nchains:50,depth:10",0.7364411020129504,0.355747781755028
5,All,xStream,"k:100,nchains:50,depth:20",0.7537814065933299,0.375142118456246
6,All,xStream,"k:100,nchains:100,depth:10",0.7551052434390598,0.3725682447670897
7,All,xStream,"k:100,nchains:100,depth:20",0.7353196228178113,0.35145029624124735
8,All,Isolation Forest,"n_est:100,max_samples:10,max_features:1",0.5267529597846441,0.2127846422906675
9,All,Isolation Forest,"n_est:100,max_samples:10,max_features:2",0.6394379845202944,0.3841846448402002
10,All,Isolation Forest,"n_est:100,max_samples:10,max_features:3",0.5421905100310777,0.2618397410685131
11,All,Isolation Forest,"n_est:100,max_samples:10,max_features:4",0.6727536305269829,0.3502958276575764
12,All,Isolation Forest,"n_est:100,max_samples:10,max_features:5",0.5420105083797894,0.27456185229028707
13,All,Isolation Forest,"n_est:100,max_samples:10,max_features:6",0.526044520928084,0.27012500242724924
14,All,Isolation Forest,"n_est:100,max_samples:10,max_features:7",0.6502349967859742,0.37281198386381703
15,All,Isolation Forest,"n_est:100,max_samples:10,max_features:8",0.6465049746931335,0.3395666236920622
16,All,Isolation Forest,"n_est:100,max_samples:10,max_features:9",0.669265876376375,0.2962128444639222
17,All,Isolation Forest,"n_est:100,max_samples:60,max_features:1",0.6397619750206472,0.2575113631420824
18,All,Isolation Forest,"n_est:100,max_samples:60,max_features:2",0.6102872892455982,0.25850134098448396
19,All,Isolation Forest,"n_est:100,max_samples:60,max_features:3",0.5893325776984782,0.2605937214544914
20,All,Isolation Forest,"n_est:100,max_samples:60,max_features:4",0.6096467290647447,0.253865551547751
21,All,Isolation Forest,"n_est:100,max_samples:60,max_features:5",0.5482101668474686,0.24802323289006067
22,All,Isolation Forest,"n_est:100,max_samples:60,max_features:6",0.657556976306507,0.27780688567904255
23,All,Isolation Forest,"n_est:100,max_samples:60,max_features:7",0.678995163620971,0.310308002640201
24,All,Isolation Forest,"n_est:100,max_samples:60,max_features:8",0.6789271290456875,0.293189463679491
25,All,Isolation Forest,"n_est:100,max_samples:60,max_features:9",0.690524810357519,0.3220663537418682
26,All,Isolation Forest,"n_est:100,max_samples:110,max_features:1",0.5760209364401168,0.23105542569798548
27,All,Isolation Forest,"n_est:100,max_samples:110,max_features:2",0.5768330173352847,0.2283507673214336
28,All,Isolation Forest,"n_est:100,max_samples:110,max_features:3",0.7062709170462095,0.3156481681018675
29,All,Isolation Forest,"n_est:100,max_samples:110,max_features:4",0.6616276701544105,0.28064360429975366
30,All,Isolation Forest,"n_est:100,max_samples:110,max_features:5",0.6692345093815377,0.3030497631170722
31,All,Isolation Forest,"n_est:100,max_samples:110,max_features:6",0.6441130386673355,0.26460053273917244
32,All,Isolation Forest,"n_est:100,max_samples:110,max_features:7",0.6592336762541997,0.26776128272668537
33,All,Isolation Forest,"n_est:100,max_samples:110,max_features:8",0.7162258845180745,0.32622602850187943
34,All,Isolation Forest,"n_est:100,max_samples:110,max_features:9",0.6343843750210465,0.2836643232277141
35,All,Isolation Forest,"n_est:100,max_samples:160,max_features:1",0.5118839752945317,0.2177210819266373
36,All,Isolation Forest,"n_est:100,max_samples:160,max_features:2",0.5944382576563528,0.2382883772342911
37,All,Isolation Forest,"n_est:100,max_samples:160,max_features:3",0.6342952628229896,0.2714132923089881
38,All,Isolation Forest,"n_est:100,max_samples:160,max_features:4",0.630671720141053,0.25723717279348435
39,All,Isolation Forest,"n_est:100,max_samples:160,max_features:5",0.5477415015399136,0.2620065248004796
40,All,Isolation Forest,"n_est:100,max_samples:160,max_features:6",0.6460282026075888,0.2612688787349279
41,All,Isolation Forest,"n_est:100,max_samples:160,max_features:7",0.6819619325660746,0.29851150703290197
42,All,Isolation Forest,"n_est:100,max_samples:160,max_features:8",0.6476663329999993,0.26875145364669617
43,All,Isolation Forest,"n_est:100,max_samples:160,max_features:9",0.6346630611044026,0.27378791104960815
44,All,Isolation Forest,"n_est:200,max_samples:10,max_features:1",0.7670049957707562,0.4815640185937303
45,All,Isolation Forest,"n_est:200,max_samples:10,max_features:2",0.6434438865041104,0.2800954493702106
46,All,Isolation Forest,"n_est:200,max_samples:10,max_features:3",0.5059197251877093,0.23578869625504284
47,All,Isolation Forest,"n_est:200,max_samples:10,max_features:4",0.5656805228547532,0.27261960769410987
48,All,Isolation Forest,"n_est:200,max_samples:10,max_features:5",0.6117614444632079,0.29281856189019073
