,"k:50,nchains:50,depth:10","k:50,nchains:50,depth:20","k:50,nchains:100,depth:10","k:50,nchains:100,depth:20","k:100,nchains:50,depth:10","k:100,nchains:50,depth:20","k:100,nchains:100,depth:10","k:100,nchains:100,depth:20"
0,-13.442563677130671,-13.254832127699165,-13.365492127009631,-13.446016594972168,-13.45510746617879,-13.35603615849213,-13.37027441448247,-13.320413978040495
1,-13.064256118760152,-12.531832966432157,-12.944964602549287,-12.938372514398555,-12.748465273989018,-12.706641776055365,-12.786096676579028,-12.946590599665523
2,-12.761201563270948,-12.928210543710575,-12.935994149224022,-12.987036241805518,-12.777295013078508,-12.608101979558885,-12.854054874334137,-13.006829897036724
3,-12.656753298669525,-12.137162741980541,-12.055879364971311,-12.407417425957357,-12.968927588894235,-12.920357359064504,-12.417853568327793,-12.350163040280904
4,-12.374983914041218,-12.524441297209792,-12.061171337834846,-12.334293138039,-12.138514080806356,-11.656289974628919,-12.017287010105592,-12.100843043390624
5,-13.309241517095082,-12.966671613876581,-13.037133739444958,-13.05060318120014,-13.090858501306903,-13.383574957033481,-13.119156190404562,-13.115095441567172
6,-13.059036068884058,-12.522274365720275,-12.979394251085305,-12.824849712782827,-12.66647476059642,-12.681752950584023,-12.638136039232524,-12.887334687068208
7,-13.140103448085602,-12.899213453220543,-13.231531872958664,-13.143174597245496,-13.22825803335298,-13.466953827021094,-13.21455802934694,-13.088600092812175
8,-13.934841897844903,-13.9091899644446,-13.87897799541316,-13.963149110149402,-13.891498212246233,-13.841623762110325,-13.802968975586479,-13.88026488462942
9,-13.271180374590383,-13.117189138485703,-13.124580573536457,-13.309293451454586,-13.189521923899294,-13.340187351446138,-13.252482875683295,-13.119588649138054
10,-13.934841897844903,-13.9091899644446,-13.879924188162681,-13.963149110149402,-13.877210058241532,-13.841623762110325,-13.79943303479497,-13.88026488462942
11,-13.934841897844903,-13.903008087683173,-13.88062208349117,-13.963149110149402,-13.877210058241532,-13.841623762110325,-13.802968975586479,-13.88026488462942
12,-12.403786733042825,-12.386091302400137,-12.423602447782288,-12.606977457891551,-12.478920180358541,-12.905319281639134,-12.608979227165266,-12.499252903474535
13,-11.256048370245384,-11.317202636725142,-11.289105894039729,-11.503815385010236,-11.005879321281038,-11.811550133410215,-11.541928021708626,-10.852276950594062
14,-13.456678624136611,-13.31454236259298,-13.536144250716648,-13.504958406180062,-13.460297502183334,-13.593231181786212,-13.472149185964732,-13.47729658903902
15,-13.401519823016853,-13.335717753478635,-13.270914789050545,-13.344732909502618,-13.31828612131625,-13.215553718102294,-13.324307026062465,-13.116862593587166
16,-11.000638409023736,-10.938745902800973,-11.249074010453729,-10.476602741901894,-11.11780827445986,-11.117728883797543,-11.392152246789928,-10.992040154496959
17,-12.742636886781918,-12.741691954125365,-12.637541819425516,-12.52211283329711,-12.922523696757555,-12.93256047812169,-12.720398471240564,-12.600267871894584
18,-13.934841897844903,-13.867095373177369,-13.881568276240692,-13.963149110149402,-13.877210058241532,-13.865136802250907,-13.79943303479497,-13.88026488462942
19,-13.934841897844903,-13.867095373177369,-13.881568276240692,-13.963149110149402,-13.866486244240662,-13.865136802250907,-13.79943303479497,-13.87171750362667
20,-9.737690537428902,-9.321521307213423,-9.438389003239948,-9.624894132948057,-9.27604230752656,-9.66329755446227,-9.331641685373048,-9.499427648138443
21,-13.934841897844903,-13.867095373177369,-13.881568276240692,-13.963149110149402,-13.877210058241532,-13.841623762110325,-13.79943303479497,-13.88026488462942
22,-13.87559726788872,-13.903008087683173,-13.862297989929749,-13.959935800208576,-13.891498212246233,-13.841623762110325,-13.802968975586479,-13.88026488462942
23,-12.056148823610306,-11.740577229691668,-11.729166029175888,-11.811961815893818,-11.690694187159593,-11.665474155907875,-11.715790295252932,-11.424549873685134
24,-12.403293507385673,-11.973186660236975,-12.39251858758172,-12.378663562468025,-11.77447735396785,-11.88015000757449,-11.9589062242468,-12.059683628949056
25,-13.174287624634756,-12.969127552745299,-13.083379594961295,-13.239785112491314,-12.715767774639897,-13.079897931716552,-13.269735482159197,-12.901794911881577
26,-13.401519823016853,-13.340117891878892,-13.270914789050545,-13.335255228267798,-13.31828612131625,-13.267143786304985,-13.30771579353474,-13.132911406976694
27,-13.934841897844903,-13.867095373177369,-13.879924188162681,-13.955075560928824,-13.866486244240662,-13.841623762110325,-13.79943303479497,-13.88026488462942
28,-11.482991405544418,-11.523034043832535,-11.081374737220251,-11.020277295267574,-11.720175133851093,-11.488477151568858,-11.22380908690746,-11.299098167878926
29,-13.241485517250759,-13.055579268003076,-13.161828213204974,-13.292974565547459,-13.121821228601002,-13.204621645977797,-13.236130928282414,-13.128853613691149
30,-12.944990878741438,-13.100743620933422,-12.894206859567696,-13.177308022197229,-13.131282785975552,-13.121839906503363,-13.16740492993138,-13.033572487379804
31,-8.922900070242786,-8.577600066438116,-8.790586267815211,-8.87839579556151,-9.0580620400091,-9.044131686340506,-8.850673832456534,-8.903897995986208
32,-12.745904881367245,-12.958421246403477,-12.905056888116363,-12.923774109864219,-12.92270437229917,-12.7169493564732,-13.074913713618336,-12.7539639103806
33,-13.923224205448166,-13.85009328178703,-13.879924188162681,-13.948300386084675,-13.866486244240662,-13.841623762110325,-13.79943303479497,-13.87919906828805
34,-13.917237983266041,-13.9091899644446,-13.87897799541316,-13.959935800208576,-13.891498212246233,-13.841623762110325,-13.78090258479328,-13.88026488462942
35,-12.895519003090323,-13.162273218592452,-12.974429640443345,-13.189318556737105,-13.100669201099256,-13.246636654889315,-12.933821002774788,-13.019225638220576
36,-12.648111230825098,-12.544979394469555,-12.807122387925993,-12.75172949304179,-12.543097384177472,-13.030052124407185,-12.80102531097675,-12.685983189989882
37,-11.852970960171097,-12.03086720359314,-11.995507178632367,-12.203531211717339,-12.0447053979872,-12.305297507662255,-12.092824792597314,-12.019472378038138
38,-11.177633269853672,-10.734775959792922,-11.017989659885805,-11.242170455532243,-10.9396562908664,-11.401308743364144,-11.421689146310392,-11.477413463440366
39,-13.679858814448544,-13.556285086637502,-13.486054142276673,-13.649454496711252,-13.540058592680493,-13.573050461513821,-13.525222984735354,-13.584866662206702
40,-13.87559726788872,-13.903008087683173,-13.88062208349117,-13.963149110149402,-13.891498212246233,-13.865136802250907,-13.797880265212934,-13.88026488462942
41,-13.072611848603309,-13.01240950443738,-13.064081734032984,-12.949985598173516,-13.136079895928365,-13.12013399585036,-13.081814668272953,-12.963043806112099
42,-11.600610952288653,-11.725384372909694,-11.554775785939553,-11.341233301392794,-11.78539458158127,-11.5961267169677,-11.519661529242383,-11.589174853789334
43,-12.424502830377357,-12.690968642377788,-12.787733091913635,-12.745593705967824,-12.284530837866033,-12.646182409636605,-12.867741246341478,-12.51983723015968
44,-13.923224205448166,-13.85009328178703,-13.879924188162681,-13.948300386084675,-13.866486244240662,-13.841623762110325,-13.79943303479497,-13.87919906828805
45,-13.314688387982407,-13.752320131330245,-13.35902466193156,-13.437327705592987,-13.476147360028579,-13.102106923405962,-13.372817142115318,-13.344614591856702
46,-13.87559726788872,-13.903008087683173,-13.834928743945452,-13.963149110149402,-13.891498212246233,-13.865136802250907,-13.80127818712679,-13.88026488462942
47,-12.752217080127027,-13.167877224560781,-12.764986949708671,-13.008878478274989,-13.01548953339136,-12.920628194196823,-12.947419907704534,-12.850568243433838
48,-11.465634920041275,-11.581941276892778,-11.213099801280025,-11.099132078219192,-11.724656151497268,-11.421255177725497,-11.238020949206014,-11.434665265374447
49,-13.072611848603309,-13.01240950443738,-13.064081734032984,-12.935977067139133,-13.136079895928365,-13.06854392764767,-13.081814668272953,-12.9199176091271
50,-12.162995852843387,-12.482093815384342,-11.967331870144333,-12.032535711669635,-12.078944548640397,-11.88050152225606,-12.060897272659703,-12.213761502556281
51,-13.87559726788872,-13.860913496415941,-13.869864219648207,-13.91961097079445,-13.877210058241532,-13.831874652931948,-13.781381818104032,-13.863190155371052
52,-13.917237983266041,-13.860913496415941,-13.881568276240692,-13.963149110149402,-13.877210058241532,-13.865136802250907,-13.79943303479497,-13.88026488462942
53,-13.934841897844903,-13.85009328178703,-13.879924188162681,-13.911537421573874,-13.833604939023406,-13.841623762110325,-13.79943303479497,-13.87919906828805
54,-12.424502830377357,-12.690968642377788,-12.787733091913635,-12.745593705967824,-12.266620721223456,-12.646182409636605,-12.861549955302756,-12.518306351173898
55,-13.865348063073075,-13.85009328178703,-13.873702318864396,-13.908204178948417,-13.833604939023406,-13.86506614640743,-13.767217270712845,-13.87919906828805
56,-13.87559726788872,-13.860913496415941,-13.881568276240692,-13.963149110149402,-13.877210058241532,-13.865136802250907,-13.802968975586479,-13.88026488462942
57,-11.372420455515858,-12.283614440140022,-11.554982645352041,-11.519847739714423,-11.688441512437857,-11.473746628349986,-11.379221453555694,-11.494794947818136
58,-13.913116929855287,-13.9091899644446,-13.87897799541316,-13.959935800208576,-13.891498212246233,-13.86506614640743,-13.78090258479328,-13.88026488462942
